Task,Theme,Link,size,colour,radius
1,"Draw 10,000 of something",https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/01Draw10000,4,5,3
2,Dithering,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/02Dithering,4,8,5
3,Space,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/03Space,5,2,4
4,The next next Fidenza,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/04Fidenza,3,5,2
5,Destroy a Square,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/05DestroyaSquare,1,8,2
6,Trade Styles with a Friend,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/06TradeStyleswithaFriend,4,3,3
