Task,Theme,Link
1,"Draw 10,000 of something",https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/01Draw10000
2,Dithering,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/02Dithering
3,Space,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/03Space
4,The next next Fidenza,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/04Fidenza
5,Destroy a Square,https://public.tableau.com/app/profile/wjsutton/viz/Genuary2022ArtificiallyGeneratedArtJanuary2022/05DestroyaSquare
